Date,Rainfall,Tmax,MSLP,Humidity,Year,Month,DMI,SOI,N34_A,Rainfall_Lag1,Rainfall_Lag2,Rainfall_Lag3,Rainfall_Lag4,Rainfall_Lag5,Rainfall_Lag6,Rainfall_Lag7,High_Rain_Event
2000-01-04,3.16933778,28.43145709,1011.704379,68.06492774,2000,1,-0.125,0.7,-1.77,3.16933778,2.11245133,2.11245133,2.02232071,2.02232071,14.46349426,14.46349426,0
2000-01-05,2.70666874,30.74481749,1010.731947,53.96239096,2000,1,-0.125,1.1,-1.77,3.16933778,3.16933778,2.11245133,2.11245133,2.02232071,2.02232071,14.46349426,0
2000-01-05,2.70666874,30.74481749,1010.731947,53.96239096,2000,1,-0.125,0.7,-1.77,2.70666874,3.16933778,3.16933778,2.11245133,2.11245133,2.02232071,2.02232071,0
2000-01-06,4.09976326,31.99052847,1008.514187,51.51037432,2000,1,-0.125,1.1,-1.77,2.70666874,2.70666874,3.16933778,3.16933778,2.11245133,2.11245133,2.02232071,0
2000-01-06,4.09976326,31.99052847,1008.514187,51.51037432,2000,1,-0.125,0.7,-1.77,4.09976326,2.70666874,2.70666874,3.16933778,3.16933778,2.11245133,2.11245133,0
2000-01-07,9.79226583,30.7584642,1007.569456,56.60322815,2000,1,-0.125,1.1,-1.77,4.09976326,4.09976326,2.70666874,2.70666874,3.16933778,3.16933778,2.11245133,1
2000-01-07,9.79226583,30.7584642,1007.569456,56.60322815,2000,1,-0.125,0.7,-1.77,9.79226583,4.09976326,4.09976326,2.70666874,2.70666874,3.16933778,3.16933778,1
2000-01-08,9.25506092,31.51606502,1009.835886,56.78966924,2000,1,-0.125,1.1,-1.77,9.79226583,9.79226583,4.09976326,4.09976326,2.70666874,2.70666874,3.16933778,1
2000-01-08,9.25506092,31.51606502,1009.835886,56.78966924,2000,1,-0.125,0.7,-1.77,9.25506092,9.79226583,9.79226583,4.09976326,4.09976326,2.70666874,2.70666874,1
2000-01-09,1.02118251,31.9863309,1009.249358,54.65469868,2000,1,-0.125,1.1,-1.77,9.25506092,9.25506092,9.79226583,9.79226583,4.09976326,4.09976326,2.70666874,0
2000-01-09,1.02118251,31.9863309,1009.249358,54.65469868,2000,1,-0.125,0.7,-1.77,1.02118251,9.25506092,9.25506092,9.79226583,9.79226583,4.09976326,4.09976326,0
2000-01-10,0.22545261,30.99445467,1008.209917,56.19342764,2000,1,-0.125,1.1,-1.77,1.02118251,1.02118251,9.25506092,9.25506092,9.79226583,9.79226583,4.09976326,0
2000-01-10,0.22545261,30.99445467,1008.209917,56.19342764,2000,1,-0.125,0.7,-1.77,0.22545261,1.02118251,1.02118251,9.25506092,9.25506092,9.79226583,9.79226583,0
2000-01-11,8.67620518,28.26642769,1006.785022,69.20815599,2000,1,-0.125,1.1,-1.77,0.22545261,0.22545261,1.02118251,1.02118251,9.25506092,9.25506092,9.79226583,1
2000-01-11,8.67620518,28.26642769,1006.785022,69.20815599,2000,1,-0.125,0.7,-1.77,8.67620518,0.22545261,0.22545261,1.02118251,1.02118251,9.25506092,9.25506092,1
2000-01-12,29.99101732,28.09410701,1006.723094,68.04171732,2000,1,-0.125,1.1,-1.77,8.67620518,8.67620518,0.22545261,0.22545261,1.02118251,1.02118251,9.25506092,1
2000-01-12,29.99101732,28.09410701,1006.723094,68.04171732,2000,1,-0.125,0.7,-1.77,29.99101732,8.67620518,8.67620518,0.22545261,0.22545261,1.02118251,1.02118251,1
2000-01-13,11.28799576,27.34926705,1006.109048,63.92118743,2000,1,-0.125,1.1,-1.77,29.99101732,29.99101732,8.67620518,8.67620518,0.22545261,0.22545261,1.02118251,1
2000-01-13,11.28799576,27.34926705,1006.109048,63.92118743,2000,1,-0.125,0.7,-1.77,11.28799576,29.99101732,29.99101732,8.67620518,8.67620518,0.22545261,0.22545261,1
2000-01-14,0.40267742,28.38484492,1006.64594,56.79893908,2000,1,-0.125,1.1,-1.77,11.28799576,11.28799576,29.99101732,29.99101732,8.67620518,8.67620518,0.22545261,0
2000-01-14,0.40267742,28.38484492,1006.64594,56.79893908,2000,1,-0.125,0.7,-1.77,0.40267742,11.28799576,11.28799576,29.99101732,29.99101732,8.67620518,8.67620518,0
2000-01-15,0.0,29.57732446,1008.916505,50.27513247,2000,1,-0.125,1.1,-1.77,0.40267742,0.40267742,11.28799576,11.28799576,29.99101732,29.99101732,8.67620518,0
2000-01-15,0.0,29.57732446,1008.916505,50.27513247,2000,1,-0.125,0.7,-1.77,0.0,0.40267742,0.40267742,11.28799576,11.28799576,29.99101732,29.99101732,0
2000-01-16,0.01046902,30.61935721,1009.940368,49.80498125,2000,1,-0.125,1.1,-1.77,0.0,0.0,0.40267742,0.40267742,11.28799576,11.28799576,29.99101732,0
2000-01-16,0.01046902,30.61935721,1009.940368,49.80498125,2000,1,-0.125,0.7,-1.77,0.01046902,0.0,0.0,0.40267742,0.40267742,11.28799576,11.28799576,0
2000-01-17,0.13172409,30.51095065,1010.930224,52.74062394,2000,1,-0.125,1.1,-1.77,0.01046902,0.01046902,0.0,0.0,0.40267742,0.40267742,11.28799576,0
2000-01-17,0.13172409,30.51095065,1010.930224,52.74062394,2000,1,-0.125,0.7,-1.77,0.13172409,0.01046902,0.01046902,0.0,0.0,0.40267742,0.40267742,0
2000-01-18,3.07738911,30.14107064,1010.895858,55.94487512,2000,1,-0.125,1.1,-1.77,0.13172409,0.13172409,0.01046902,0.01046902,0.0,0.0,0.40267742,0
2000-01-18,3.07738911,30.14107064,1010.895858,55.94487512,2000,1,-0.125,0.7,-1.77,3.07738911,0.13172409,0.13172409,0.01046902,0.01046902,0.0,0.0,0
2000-01-19,2.03014289,31.15555015,1011.721655,56.48154143,2000,1,-0.125,1.1,-1.77,3.07738911,3.07738911,0.13172409,0.13172409,0.01046902,0.01046902,0.0,0
2000-01-19,2.03014289,31.15555015,1011.721655,56.48154143,2000,1,-0.125,0.7,-1.77,2.03014289,3.07738911,3.07738911,0.13172409,0.13172409,0.01046902,0.01046902,0
2000-01-20,7.08938977,33.09393162,1011.221096,51.0841884,2000,1,-0.125,1.1,-1.77,2.03014289,2.03014289,3.07738911,3.07738911,0.13172409,0.13172409,0.01046902,0
2000-01-20,7.08938977,33.09393162,1011.221096,51.0841884,2000,1,-0.125,0.7,-1.77,7.08938977,2.03014289,2.03014289,3.07738911,3.07738911,0.13172409,0.13172409,0
2000-01-21,0.03916049,33.65440833,1009.02095,51.29816742,2000,1,-0.125,1.1,-1.77,7.08938977,7.08938977,2.03014289,2.03014289,3.07738911,3.07738911,0.13172409,0
